event_id,station,network,location,channel,p_polarity
bmg2026gkek,SWCM,IA,00,HNZ,1
bmg2026gkek,TAPSI,IA,--,HNZ,-1
bmg2026gkek,TBCM,IA,00,HNZ,-1
bmg2026gkek,TBJKI,IA,00,HNZ,1
bmg2026gkek,TBMUI,IA,--,HNZ,1
bmg2026gkek,TEBBI,IA,00,HNZ,1
bmg2026gkek,TGCM,IA,00,HNZ,1
bmg2026gkek,TIKSI,IA,--,HNZ,1
bmg2026gkek,TIPSI,IA,--,HNZ,-1
bmg2026gkek,TLCM,IA,00,HNZ,-1
bmg2026gkek,TMTMM,IA,--,HNZ,1
bmg2026gkek,TOBSI,IA,--,HNZ,1
bmg2026gkek,TOCM,IA,00,HNZ,1
bmg2026gkek,TOTSI,IA,--,HNZ,-1
bmg2026gkek,TPCI,IA,00,HNZ,1
bmg2026gkek,TSPI,IA,00,HNZ,1
bmg2026gkek,TTPSI,IA,--,HNZ,-1
bmg2026gkek,TTSI,IA,--,HNZ,-1
bmg2026gkek,TTSMI,IA,--,HNZ,-1
bmg2026gkek,UKCM,IA,--,HNZ,-1
bmg2026gkek,ULMSI,IA,00,HNZ,-1
bmg2026gkek,UMSSI,IA,--,HNZ,-1
bmg2026gkek,UTUSI,IA,--,HNZ,-1
bmg2026gkek,UWNPI,IA,--,HNZ,-1
bmg2026gkek,WANPI,IA,--,HNZ,1
bmg2026gkek,WBNI,IA,--,HNZ,1
bmg2026gkek,WGJM,IA,00,HNZ,-1
bmg2026gkek,WKCM,IA,--,HNZ,1
bmg2026gkek,WMCM,IA,00,HNZ,1
bmg2026gkek,WSTMM,IA,--,HNZ,-1
bmg2026gkek,WTKSI,IA,--,HNZ,-1
bmg2026gkek,WUPCM,IA,--,HNZ,-1
bmg2026gkek,WWCI,IA,00,HNZ,-1
bmg2026gkek,YBYPI,IA,--,HNZ,-1
